common_id,syu_2009,syu_2012,syu_2014,syu_2017,ykn_2009,ykn_2010,ykn_2012,ykn_2013,ykn_2014,ykn_2016,カテゴリ,質問項目１,質問項目２,回答欄,備考1,備考2,朝日項目名
q20,,,,Q4_16,,,,,,W2Q19_11,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,被選挙権を得られる年齢を引き下げるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,被選挙権年齢引き下げ
q21,Q9_1,Q5_1,,,Q013801,,Q013001,Q021201,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,憲法を改正すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,14年と17年は質問方法がやや異なる,憲法改正
q22,,,Q8,Q7,,,,,W1Q14_1,W2Q22_1,5,「憲法を改正すべきだ」という意見について、あなたは賛成ですか、それとも反対ですか。１つだけ○を付けてください。,,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,14年と17年は質問方法がやや異なる,憲法改正の是非
q23,,Q5_6,,,,,Q013006,Q021205,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,憲法を改正するか解釈変更して集団的自衛権を行使できるようにすべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q24,Q9_2,Q5_2,Q6_1,Q4_1,Q013802,,Q013002,Q021202,W1Q16_1,W2Q19_1,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日本の防衛力はもっと強化すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,防衛力強化
q25,Q9_3,,,Q4_4,Q013803,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,非核三原則を堅持すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,非核三原則保持
q26,Q9_4,Q5_3,Q6_2,Q4_2,Q013804,,Q013003,Q021203,W1Q16_2,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,他国からの攻撃が予想される場合には、先制攻撃もためらうべきではない,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,先制攻撃
q27,Q9_5,Q5_4,,,Q013805,,Q013004,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日本は国連の安全保障理事会の常任理事国に入って国際的役割を果たすべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,常任理事国入り
q28,Q9_6,Q5_5,Q6_3,Q4_3,Q013806,,Q013005,Q021204,W1Q16_3,W2Q19_2,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,北朝鮮に対しては対話よりも圧力を優先すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,対北朝鮮圧力
q29,Q9_7,,,,Q013807,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日本は集団的自衛権を行使すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,集団的自衛権
q30,Q9_8,,,,Q013808,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,国連の活動に参加するためなら、自衛隊を積極的に海外に出すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,自衛隊海外派遣
q31,Q9_9,Q5_7,Q6_5,Q4_6,Q013809,,Q013007,Q021206,W1Q16_5,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,社会福祉など政府のサービスが悪くなっても、お金のかからない小さな政府の方が良い,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,小さな政府
q32,Q9_10,,,,Q013810,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日本の企業は終身雇用制度を堅持すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,終身雇用維持
q33,Q9_11,Q5_8,Q6_6,Q4_7,Q013811,,Q013008,Q021207,W1Q16_6,W2Q19_3,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,公共事業による雇用確保は必要だ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,公共事業による雇用確保
q34,Q9_12,Q5_9,Q6_7,Q4_8,Q013812,Q022701,Q013009,Q021208,W1Q16_7,W2Q19_4,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,当面は財政再建のために歳出を抑えるのではなく、景気対策のために財政出動を行うべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,景気対策のための財政出動
q35,Q9_13,,,,Q013813,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,道路予算を維持すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,道路予算維持
q36,Q9_14,Q5_10,,,Q013814,Q022702,Q013010,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,５年以内の消費税率引き上げはやむをえない,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,5年以内の消費税引き上げ
q37,,Q5_11,Q6_8,,,,Q013011,,W1Q16_8,W2Q19_5,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,長期的には消費税率が10%よりも高くなるのはやむをえない,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q38,Q9_15,,,,Q013815,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,基礎年金の財源は全て税金をあてるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,基礎年金財源は全て現金で
q39,,Q5_12,,,,,Q013012,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,資産を持っている人には年金を支給しなくてよい,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q40,,Q5_13,,,,,Q013013,Q021209,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,環太平洋経済連携協定（TPP）に参加すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q41,,Q5_14,,,,,Q013014,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日銀は、明確なインフレ目標を設定すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q42,Q9_16,Q5_16,Q6_12,,Q013816,,Q013016,,W1Q16_12,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,永住外国人の地方参政権を認めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,永住外国人の地方参政権
q43,Q9_17,Q5_17,Q6_13,Q4_12,Q013817,,Q013017,,W1Q16_13,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,外国人労働者の受け入れを進めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,外国人労働者受け入れ
q44,Q9_18,Q5_15,Q6_11,Q4_11,Q013818,,Q013015,,W1Q16_11,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,治安を守るためにプライバシーや個人の権利が制約されるのは当然だ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,治安のためのプライバシーや権利制限
q45,Q9_19,,,,Q013819,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,個性を伸ばす教育よりも伝統を重んじる教育を優先するべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,個性を伸ばす教育よりも伝統教育
q46,,,,Q4_9,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,幼稚園・保育所から大学まで教育を無償化すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,教育費無償化
q47,,Q5_18,Q6_14,,,,Q013018,,W1Q16_14,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,道徳教育をもっと充実させるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q48,Q9_20,,,,Q013820,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,死刑制度は廃止すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,死刑廃止
q49,,Q5_19,,,,,Q013019,Q021210,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,定期検査で停止中の原子力発電所の運転再開はやむをえない,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q50,,Q5_20,,,,,Q013020,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,被災地以外の自治体は、がれきを積極的に受け入れるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q51,,,Q6_4,Q4_5,,,,,W1Q16_4,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,首相には靖国神社に参拝してほしい,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,靖国参拝
q52,,,Q6_9,,,Q022703,,,W1Q16_9,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,企業が納めている法人税率を引き下げるべきだ（法人税の実効税率を引き下げるべきだ）,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,2010年の有権者調査では実効税率という単語が使用されているが，実質的に同じ意味と判断。,
q53,,,Q6_10,,,,,,W1Q16_10,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日本でもカジノを解禁すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q54,,,Q6_15,Q4_13,,,,,W1Q16_15,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,原子力規制委員会の審査に合格した原子力発電所は運転を再開すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,原発再稼働
q55,,,Q6_16,Q4_14,,,,,W1Q16_16,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,夫婦が望む場合には，結婚後も夫婦がそれぞれ結婚前の名字を称することを，法律で認めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q56,,,Q6_17,,,,,,W1Q16_17,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,より高い地位や良い職業に就く女性を増やすため，政府は特別な制度を設けるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,夫婦別姓
q57,,,,Q3,,,,,,,5,2019年10月に予定されている消費税率の10%への引き上げについて、あなたは賛成ですか、それとも反対ですか。1つだけ○をつけてください。,,1. （予定通り引き上げに）賛成／やむをえない　2. どちらかと言えば賛成／やむをえない　3. どちらとも言えない　4. どちらかと言えば反対／容認できない　5. 反対／容認できない　99. 無回答,,,
q58,,,,Q4_15,,,,,,W2Q19_9,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,男性同士、女性同士の結婚を法律で認めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,同性婚
q59,,,,Q4_10,,,,,,W2Q19_6,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,所得や資産の多い人に対する課税を強化すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,高所得者への課税強化
q60,,,,,,,,,,W2Q19_8,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,TPP（環太平洋経済連携協定）を批准すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q61,,,,,,,,,,W2Q19_7,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,仕事の内容が同じならば、正社員であるかどうかとは関係なく、給料も同じにすべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q62,,,,,,,,,,W2Q19_10,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,国会議員の議席や候補者の一定割合を女性に割り当てるクオータ制を導入すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q63,,,,,,Q022704,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,子ども手当は廃止すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q64,,,,,,Q022705,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,小規模農家は保護されるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q65,,,,,,Q022706,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,高速道路は無料化すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q66,,,,,,Q022707,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,郵政3事業の民営化を一層進めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q67,,,,,,Q022708,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日米安保体制は現在より強化すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q68,,,,,,Q022709,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,普天間飛行場の沖縄県内への移設はやむをえない,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q69,,,,,,Q022710,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,国からの要請があれば自分の地元に米軍基地が移転してきてもよい,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q70,,,,,,Q022711,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,事業仕分けによる予算の見直しを一層進めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q71,Q10_1,Q6_4,Q7_4,,,,Q013104,,W1Q17_4,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：環境を守るため、生活水準を犠牲にすることも必要だ，Ｂ：生活水準を犠牲にするほど、環境保護は重要問題ではない,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q72,Q10_2,,,,Q014001,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：国会議員のいわゆる世襲は禁止すべきだ，Ｂ：国会議員の子弟にも職業選択の自由がある,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,世襲禁止
q73,Q10_3,,,,Q014002,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：企業・団体にも政治活動の自由がある，Ｂ：企業・団体献金は全面禁止すべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,企業・団体政治献金禁止
q74,Q10_4,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：治安は悪化しており、犯罪に対する厳罰化を進めるべきだ，Ｂ：治安は悪化しておらず、犯罪に対する厳罰化には慎重であるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q75,,,,,,,,,W1Q17_7,W2Q20_3,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ： 少子化対策には，親自身による家庭での育児を支援するほうが効果的だ　B: 少子化対策には，保育所を増やすなどして親の育児と仕事の両立を支援するほうが効果的だ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q76,Q10_5,,,,Q014003,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：高齢者を支えるため、現役世代の負担が重くなるのは避けられない，Ｂ：現役世代の負担が重くならないよう、高齢者へのサービスを見直すのは避けられ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,現役世代の負担vs.高齢者サービスの見直し
q77,Q10_6,,,,,Q022801,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：若者の雇用確保のためには、まずは本人の努力が重要だ，Ｂ：若者の雇用確保のためには、何より政府による対策が重要だ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q78,Q10_7,Q6_5,Q7_5,Q5_2,,,Q013105,,W1Q17_5,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：夫婦と複数の子どもが揃っているのが家族の基本形だ，Ｂ：シングルマザーやDINKS など家族の形は多様でよい,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,家族の構成形態
q79,Q10_8,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：日米同盟は日本外交の基軸だ，Ｂ：日本外交は国連中心主義でいくべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q80,Q10_9,Q6_3,Q7_3,,,Q022803,Q013103,Q021302,W1Q17_3,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：国内産業を保護すべきだ，Ｂ：貿易や投資の自由化を進めるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q81,Q10_10,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：政治家は官僚と対決して従わせるのがよい，Ｂ：政治家は官僚と協力して使いこなすのがよい,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q82,,Q6_1,Q7_1,,,,Q013101,,W1Q17_1,W2Q20_2,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: これからの日本外交の優先順位は「まず米国」である　B: これからの日本外交の優先順位は「まずアジア」である,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
